"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Why did you uninstall the Firefox Private Network?","Other:Why did you uninstall the Firefox Private Network?","What sort of problems did you have with Firefox Private Network?","Other:What sort of problems did you have with Firefox Private Network?"
"1185","Oct 24, 2019 9:46:58 pm","Oct 24, 2019 9:47:14 pm","Complete","","","English","","1571978817_5db27e41e8a053.85703849","","","","","","","","","I no longer wanted it","","",""
"1186","Oct 25, 2019 12:33:53 am","Oct 25, 2019 12:34:12 am","Partial","","","English","","1571988833_5db2a56163c645.37094573","","","","","","","","","It was not working correctly","","",""
"1187","Oct 25, 2019 3:46:29 am","Oct 25, 2019 3:50:41 am","Complete","","","English","","1572000389_5db2d285b3d6b0.00988784","","","","","","","","","It was not working correctly","","Other","Constant proxy rejection"
"1188","Oct 25, 2019 6:23:42 am","Oct 25, 2019 6:23:57 am","Complete","","","English","","1572009822_5db2f75e40ce88.95248786","","","","","","","","","Other","Doesn't  work on my corporate network.","",""
"1189","Oct 25, 2019 7:03:23 am","Oct 25, 2019 7:04:13 am","Complete","","","English","","1572012203_5db300ab84d908.40498094","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"1190","Oct 25, 2019 7:23:47 am","Oct 25, 2019 7:30:32 am","Complete","","","English","","1572013427_5db305732d14c0.33838078","","","","","","","","","I no longer wanted it","","",""
"1191","Oct 25, 2019 4:56:39 pm","Oct 25, 2019 4:57:13 pm","Complete","","","English","","1572047799_5db38bb71c81f7.54312349","","","","","","","","","Other","keeps crashing on first load of sites, possibly because I am now using PIA as well","",""
"1192","Oct 25, 2019 8:50:17 pm","Oct 25, 2019 8:50:39 pm","Complete","","","English","","1572061817_5db3c279c4d006.76602954","","","","","","","","","Other","I don't want to sign in","",""
"1193","Oct 26, 2019 3:01:26 am","Oct 26, 2019 3:03:53 am","Complete","","","English","","1572084086_5db41976938db4.01173949","","","","","","","","","Other","Invasion of privacy, asking for my email ","",""
"1194","Oct 26, 2019 11:52:02 am","Oct 26, 2019 11:52:17 am","Complete","","","English","","1572115922_5db495d28fba01.66108314","","","","","","","","","Other","Required account","",""
"1195","Oct 26, 2019 11:52:29 am","Oct 26, 2019 11:53:33 am","Complete","","","English","","1572115949_5db495edd2f710.78899337","","","","","","","","","Other","Was causing a lot of problems","",""
"1196","Oct 26, 2019 2:36:46 pm","Oct 26, 2019 2:36:52 pm","Complete","","","English","","1572125806_5db4bc6e63d777.53681850","","","","","","","","","I'm going to re-install","","",""
"1197","Oct 26, 2019 3:07:39 pm","Oct 26, 2019 3:08:07 pm","Complete","","","English","","1572127658_5db4c3aae39999.35488358","","","","","","","","","I no longer wanted it","","",""
"1198","Oct 26, 2019 4:05:55 pm","Oct 26, 2019 4:06:15 pm","Complete","","","English","","1572131155_5db4d1533ebb71.57233426","","","","","","","","","Other","whitelist??","",""
"1199","Oct 26, 2019 5:39:10 pm","Oct 26, 2019 5:39:39 pm","Complete","","","English","","1572136750_5db4e72e6f0cc8.61509393","","","","","","","","","It was not working correctly","","Other","Caused my connection to stop working so I had to continually fiddle it off and on every time I reconnected to the web, which was annoying."
"1200","Oct 26, 2019 6:18:20 pm","Oct 26, 2019 6:20:01 pm","Complete","","","English","","1572139099_5db4f05bd73fa1.10775595","","","","","","","","","Other","Too slow","",""
"1201","Oct 26, 2019 6:20:43 pm","Oct 26, 2019 6:20:57 pm","Complete","","","English","","1572139243_5db4f0ebbf13b1.40781601","","","","","","","","","Other","Wasn't using it","",""
"1202","Oct 26, 2019 6:54:15 pm","Oct 26, 2019 6:54:24 pm","Complete","","","English","","1572141254_5db4f8c6eae9e5.30885535","","","","","","","","","I'm going to re-install","","",""
"1203","Oct 27, 2019 12:28:04 am","Oct 27, 2019 12:28:31 am","Complete","","","English","","1572161284_5db54704376082.73643707","","","","","","","","","Other","I can't use it in China right now","",""
"1204","Oct 27, 2019 6:42:18 am","Oct 27, 2019 6:43:17 am","Complete","","","English","","1572183738_5db59ebaaf96e4.82827696","","","","","","","","","Other","after install no instructions, just says cannot connect to Firefox network without explanation","",""
"1205","Oct 27, 2019 7:09:30 am","Oct 27, 2019 7:09:50 am","Complete","","","English","","1572185370_5db5a51a723ea9.84109579","","","","","","","","","Other","I didnt need it on my home computer","",""
"1206","Oct 27, 2019 9:06:26 am","Oct 27, 2019 9:06:45 am","Complete","","","English","","1572192386_5db5c082784955.18068304","","","","","","","","","Other","Requires to login or create account","",""
"1207","Oct 27, 2019 11:19:05 am","Oct 27, 2019 11:19:10 am","Complete","","","English","","1572200345_5db5df99a27347.97734497","","","","","","","","","I no longer wanted it","","",""
"1208","Oct 27, 2019 1:34:41 pm","Oct 27, 2019 1:35:23 pm","Complete","","","English","","1572208481_5db5ff61be4737.69204218","","","","","","","","","Other","I don't want to log into Firefox to use it.","",""
"1209","Oct 27, 2019 4:35:02 pm","Oct 27, 2019 4:35:28 pm","Complete","","","English","","1572219302_5db629a618ffa8.58630933","","","","","","","","","I'm going to re-install","","",""
"1210","Oct 27, 2019 6:49:27 pm","Oct 27, 2019 6:49:57 pm","Complete","","","English","","1572227367_5db649276e14c3.45832069","","","","","","","","","Other","The servers were blocked on my network","",""
"1211","Oct 27, 2019 7:27:41 pm","Oct 27, 2019 7:28:08 pm","Complete","","","English","","1572229661_5db6521d155115.59465442","","","","","","","","","Other","It interferes with my work VPN","",""
"1212","Oct 28, 2019 3:04:15 am","Oct 28, 2019 3:04:38 am","Complete","","","English","","1572257055_5db6bd1f091a89.24908240","","","","","","","","","It was not working correctly","","Other","wouldn't connect to some sites"
"1213","Oct 28, 2019 4:44:51 am","Oct 28, 2019 4:45:02 am","Complete","","","English","","1572263091_5db6d4b3828d22.68079001","","","","","","","","","I no longer wanted it","","",""
"1214","Oct 28, 2019 7:52:51 am","Oct 28, 2019 7:53:37 am","Complete","","","English","","1572274371_5db700c365be26.09705727","","","","","","","","","I no longer wanted it","","",""
"1215","Oct 28, 2019 8:58:44 am","Oct 28, 2019 9:03:04 am","Complete","","","English","","1572278324_5db710343f18b8.88284255","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"1216","Oct 28, 2019 10:52:09 am","Oct 28, 2019 10:57:38 am","Complete","","","English","","1572285129_5db72ac95e76f2.32873938","","","","","","","","","It was not working correctly","","Other","I'm guessing my workplace caught on and adjusted the firewall settings."
"1217","Oct 28, 2019 11:04:15 am","Oct 28, 2019 11:05:12 am","Complete","","","English","","1572285855_5db72d9f8b7ee4.05375183","","","","","","","","","I no longer wanted it","","",""
"1218","Oct 28, 2019 11:17:29 am","Oct 28, 2019 11:18:07 am","Complete","","","English","","1572286649_5db730b92e6278.14365954","","","","","","","","","Other","broke a couple sites I need to use frequently, and it just got annoying having to turn it off and back on so frequently","",""
"1219","Oct 28, 2019 5:26:15 pm","Oct 28, 2019 5:27:29 pm","Complete","","","English","","1572308775_5db78727417565.41055356","","","","","","","","","I no longer wanted it","","",""
"1220","Oct 28, 2019 6:01:23 pm","Oct 28, 2019 6:02:13 pm","Complete","","","English","","1572310883_5db78f632904d9.17584673","","","","","","","","","It was not working correctly","","Other","Some sites (like Canvas LMS) wouldn't login properly unless I turned it off"
"1221","Oct 28, 2019 7:38:30 pm","Oct 28, 2019 7:38:42 pm","Complete","","","English","","1572316710_5db7a6269493c7.29087814","","","","","","","","","I'm going to re-install","","",""
"1222","Oct 28, 2019 7:58:18 pm","Oct 28, 2019 7:58:38 pm","Complete","","","English","","1572317898_5db7aacad2b8d2.22563789","","","","","","","","","Other","Need to create firefox login","",""
"1223","Oct 29, 2019 2:58:27 am","Oct 29, 2019 2:58:36 am","Complete","","","English","","1572343106_5db80d42f0eec3.87122397","","","","","","","","","I'm going to re-install","","",""
"1224","Oct 29, 2019 8:15:03 am","Oct 29, 2019 8:15:14 am","Complete","","","English","","1572362103_5db857770e4640.33363012","","","","","","","","","I'm going to re-install","","",""
"1225","Oct 29, 2019 8:32:09 am","Oct 29, 2019 8:34:16 am","Complete","","","English","","1572363129_5db85b799de3d0.71858604","","","","","","","","","I'm going to re-install","","",""
"1226","Oct 29, 2019 9:58:41 am","Oct 29, 2019 9:58:53 am","Complete","","","English","","1572368321_5db86fc1251ed6.02906558","","","","","","","","","It was not working correctly","","It caused crashes in Firefox",""
"1227","Oct 29, 2019 1:58:37 pm","Oct 29, 2019 1:59:08 pm","Complete","","","English","","1572382717_5db8a7fdcc6fc5.38664158","","","","","","","","","I no longer wanted it","","",""
"1228","Oct 29, 2019 3:22:57 pm","Oct 29, 2019 3:23:20 pm","Complete","","","English","","1572387777_5db8bbc1690149.04454406","","","","","","","","","I'm going to re-install","","",""
"1229","Oct 29, 2019 4:06:16 pm","Oct 29, 2019 4:07:22 pm","Complete","","","English","","1572390376_5db8c5e82ce941.52703445","","","","","","","","","Other","I was unable to receive a verification code for my Firefox account.","",""
"1230","Oct 29, 2019 4:31:12 pm","Oct 29, 2019 4:32:17 pm","Complete","","","Portuguese (Brazil)","","1572391872_5db8cbc0935e75.05893906","","","","","","","","","Other","It's not very private.","",""
"1231","Oct 30, 2019 12:12:24 am","Oct 30, 2019 12:12:38 am","Complete","","","English","","1572419543_5db937d7e92755.16698715","","","","","","","","","I no longer wanted it","","",""
"1232","Oct 30, 2019 6:06:59 am","Oct 30, 2019 6:08:31 am","Complete","","","English","","1572440819_5db98af32f1a99.88943038","","","","","","","","","It was not working correctly","","It caused crashes in Firefox",""
"1233","Oct 30, 2019 7:20:04 am","Oct 30, 2019 7:25:18 am","Complete","","","English","","1572445204_5db99c1451d290.29896363","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"1234","Oct 30, 2019 7:23:25 am","Oct 30, 2019 7:26:31 am","Complete","","","English","","1572445405_5db99cdd38aba5.39530127","","","","","","","","","It was not working correctly","","Other","would not install"
"1235","Oct 30, 2019 8:27:28 am","Oct 30, 2019 8:29:10 am","Complete","","","English","","1572449247_5db9abdfd62897.22195206","","","","","","","","","It was not working correctly","","Other","Proxy errors"
"1236","Oct 30, 2019 8:30:09 am","Oct 30, 2019 8:30:30 am","Complete","","","English","","1572449408_5db9ac80de1e85.98838470","","","","","","","","","I'm going to re-install","","",""
"1237","Oct 30, 2019 11:56:54 am","Oct 30, 2019 11:57:05 am","Complete","","","English","","1572461814_5db9dcf6a490b3.44248550","","","","","","","","","It was not working correctly","","It didn't protect my privacy",""
"1238","Oct 30, 2019 6:28:10 pm","Oct 30, 2019 6:28:34 pm","Complete","","","English","","1572485290_5dba38aa294090.32620630","","","","","","","","","Other","It was very slow","",""
"1239","Oct 31, 2019 7:58:37 am","Oct 31, 2019 7:58:47 am","Complete","","","English","","1572533917_5dbaf69d525e38.59142887","","","","","","","","","It was not working correctly","","It caused crashes in Firefox",""
"1240","Oct 31, 2019 10:57:40 am","Oct 31, 2019 10:57:50 am","Complete","","","English","","1572544660_5dbb2094024738.36825311","","","","","","","","","I no longer wanted it","","",""
"1241","Oct 31, 2019 5:33:00 pm","Oct 31, 2019 5:33:06 pm","Complete","","","English","","1572568380_5dbb7d3caf78a9.76075152","","","","","","","","","I'm going to re-install","","",""
"1242","Oct 31, 2019 6:52:34 pm","Oct 31, 2019 6:52:40 pm","Complete","","","English","","1572573154_5dbb8fe252cf50.65939435","","","","","","","","","I no longer wanted it","","",""
